Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Cmp%,PrgDist,Shrt Cmp%,Med Cmp%,Long Cmp%,Ast,xA,A-xA,Key Passes,Final 1/3,PenBoxPasses,CrsPenBox,Prog,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22-150,1998,23.5,91.2,75.9,594,88.7,83.3,55.7,0.13,0.16,-0.03,1.57,6.85,3.15,0.68,9.19,Matches
16,Ezgjan Alioski,mk MKD,"DF,MF",Leeds United,29-022,1992,16.5,64.2,82.2,277.7,90.2,87.3,48.6,0,0.1,-0.1,1.03,3.82,1.15,0.48,4,Matches
17,Alisson,br BRA,GK,Liverpool,28-155,1992,22,33.9,85.9,400.7,100,98.3,66.2,0,0,0,0,0.23,0,0,0,Matches
18,Allan,br BRA,MF,Everton,30-057,1991,12.8,46.6,86.4,167,92.3,87.4,77.5,0,0.02,-0.02,0.55,3.44,0.63,0,2.58,Matches
19,Dele Alli,eng ENG,MF,Tottenham,24-329,1996,2.3,54.3,80,168.3,86.3,87.8,78.6,0,0.09,-0.09,1.74,3.48,1.3,0,4.35,Matches
20,Miguel Almirón,py PAR,"MF,FW",Newcastle Utd,27-024,1994,17.6,34.3,80.6,106,88.1,84.9,62.8,0.06,0.12,-0.06,1.25,1.99,1.19,0.4,2.44,Matches
21,Marcos Alonso,es ESP,DF,Chelsea,30-068,1990,6.8,61.8,83.1,317.6,90.1,88.6,56.5,0,0.07,-0.07,1.03,1.91,0.74,0.15,5.44,Matches
22,Steven Alzate,co COL,"MF,DF",Brighton,22-179,1998,8,42.9,87.8,129,89.2,93,82.6,0,0.05,-0.05,1,2.75,0.75,0,3.25,Matches
23,Daniel Amartey,gh GHA,DF,Leicester City,26-075,1994,5.5,55.8,83.1,266.7,92.6,85.8,68.9,0,0,0,0,1.82,0.18,0,2.73,Matches
24,Ethan Ampadu,wal WAL,"DF,MF",Sheffield Utd,20-173,2000,18.8,45.7,79.3,232.4,85.5,85.6,61.1,0,0.05,-0.05,0.53,3.24,0.8,0.11,3.94,Matches
25,Joachim Andersen,dk DEN,DF,Fulham,24-279,1996,20.7,59.7,83.9,365.4,89.2,92.5,69.2,0.05,0.02,0.03,0.34,3.91,0.34,0.05,3.62,Matches
26,Elliot Anderson,sco SCO,MF,Newcastle Utd,18-120,2002,0,1,100,0,100,,,0,0,0,0,0,0,0,0,Matches
27,Felipe Anderson,br BRA,"FW,MF",West Ham,27-325,1993,0,6,66.7,28,100,50,,0,0,0,0,0,0,0,2,Matches
28,Michail Antonio,eng ENG,FW,West Ham,30-343,1990,13.8,20.2,63.1,32.7,68.8,62.5,60,0.22,0.09,0.12,0.87,0.87,0.29,0,1.01,Matches
29,Alphonse Areola,fr FRA,GK,Fulham,28-007,1993,26,26.3,72.4,329.4,100,99.4,48.1,0,0,0,0,0.15,0,0,0,Matches
30,Stuart Armstrong,sco SCO,MF,Southampton,28-341,1992,19.2,40.4,78.8,145.8,85.4,85,65.7,0.16,0.09,0.06,1.15,2.86,1.04,0.26,3.33,Matches
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,26-154,1994,4,34.5,76.8,409.3,96,100,55.7,0,0,0,0,0.25,0,0,0,Matches
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31-261,1989,19.6,26.9,75.3,62.4,82.2,76.1,56.8,0.05,0.08,-0.03,0.82,0.71,1.22,0.46,2.14,Matches
33,Serge Aurier,ci CIV,DF,Tottenham,28-072,1992,12.8,51.1,77.8,264.7,89.7,74.8,51.5,0.08,0.12,-0.04,0.7,1.02,1.33,0.47,3.2,Matches
34,Charlie Austin,eng ENG,FW,West Brom,31-244,1989,1.5,22,72.7,82.7,84.6,75,50,0,0,0,0,0,0,0,2.67,Matches
35,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,29-176,1991,16.6,26.4,80.9,56.4,87.4,81.5,59.3,0.18,0.04,0.14,0.6,0.6,0.72,0.12,1.87,Matches
36,Luke Ayling,eng ENG,DF,Leeds United,29-193,1991,25.8,75.6,79.6,487,88.3,87.1,58.7,0,0.09,-0.09,0.85,5.31,1.05,0.39,6.16,Matches
37,César Azpilicueta,es ESP,DF,Chelsea,31-190,1989,15.6,85.6,86.8,473,92.4,91.4,59.1,0.06,0.07,-0.01,0.96,5.83,0.9,0.19,4.94,Matches
38,Eric Bailly,ci CIV,DF,Manchester Utd,26-328,1994,7.1,53.8,89.8,320.4,92.4,92.9,76.6,0,0,0,0,3.38,0,0,3.1,Matches
39,Fabián Balbuena,py PAR,DF,West Ham,29-195,1991,12,35,76,253.3,87.3,87.4,56.3,0,0,0,0,2.42,0,0,2.25,Matches
40,George Baldock,eng ENG,DF,Sheffield Utd,27-362,1993,21.5,36.9,76.4,146.1,91,75.6,39,0.09,0.06,0.03,0.56,1.35,1.02,0.28,2.05,Matches
41,Gareth Bale,wal WAL,FW,Tottenham,31-233,1989,4.8,38.5,63.8,153.5,79.7,68,46,0.42,0.08,0.33,1.25,2.29,0.42,0,2.92,Matches
42,Patrick Bamford,eng ENG,FW,Leeds United,27-182,1993,24.8,14.8,76.3,22.5,77.3,82.3,88.9,0.2,0.11,0.09,0.69,0.56,0.32,0.08,0.73,Matches
43,Phil Bardsley,sco SCO,DF,Burnley,35-251,1985,3,55,70.3,316.3,95.9,76.1,40,0,0,0,0,3,2,0.33,3.67,Matches
44,Ross Barkley,eng ENG,MF,Aston Villa,27-091,1993,12.1,41.8,81.4,149.8,86.6,87,71.1,0.08,0.22,-0.14,2.31,2.81,1.4,0,4.05,Matches
45,Ross Barkley,eng ENG,MF,Chelsea,27-091,1993,0.5,52,84.6,144,76.9,88.9,100,0,0.2,-0.2,2,4,2,0,4,Matches
46,Ashley Barnes,eng ENG,FW,Burnley,31-127,1989,14.4,20.1,64.1,37.6,75.9,61.4,25,0,0.05,-0.05,0.9,0.9,0.49,0.07,1.32,Matches
47,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23-087,1997,21.6,29.1,74.5,86.8,79.9,78.9,64.7,0.19,0.07,0.12,1.16,1.71,0.88,0.09,2.87,Matches
48,Kyle Bartley,eng ENG,DF,West Brom,29-288,1991,17.8,30.5,77.5,153,86.5,83.5,56.5,0.06,0.02,0.04,0.11,1.74,0.11,0.06,1.01,Matches
49,Chris Basham,eng ENG,"DF,MF",Sheffield Utd,32-229,1988,22.6,39.2,80.2,161.4,88.8,83.6,58.7,0.04,0.03,0.01,0.35,1.9,0.53,0.22,2.35,Matches
50,Michy Batshuayi,be BEL,FW,Crystal Palace,27-155,1993,7.8,19.9,71.6,40.9,79.2,72.5,75,0.13,0.18,-0.05,0.9,0.77,0.38,0.13,1.15,Matches
51,Jan Bednarek,pl POL,DF,Southampton,24-328,1996,24.9,61.8,84.7,345.9,93,90.5,54.1,0.04,0.01,0.03,0.16,2.69,0.16,0,2.77,Matches
52,Donny van de Beek,nl NED,"MF,FW",Manchester Utd,23-322,1997,3.6,47.5,84.2,109.2,87.6,93,60,0,0.03,-0.03,0.56,1.94,0.28,0.28,1.39,Matches
53,Héctor Bellerín,es ESP,DF,Arsenal,25-352,1995,21.2,55.4,82.7,222.5,87,85.7,63.6,0.09,0.11,-0.01,0.99,2.41,1.32,0.42,3.63,Matches
54,Saïd Benrahma,dz ALG,"MF,FW",West Ham,25-208,1995,9.8,32.9,78.9,109.9,91.1,81.2,44.2,0.41,0.18,0.22,1.53,2.65,1.12,0.31,3.16,Matches
55,Josh Benson,eng ENG,MF,Burnley,21-091,1999,2.9,29.3,72.9,111,90.5,70.8,33.3,0,0,0,0,1.38,0,0,2.41,Matches
56,Christian Benteke,be BEL,FW,Crystal Palace,30-093,1990,11.1,27.3,64.4,52.9,66.1,61.8,64.7,0.09,0.08,0.01,0.99,1.26,0.99,0.09,1.89,Matches
57,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30-130,1990,8.3,30.2,75.7,93.3,87,75.3,48.8,0,0.02,-0.02,0.48,1.45,0.48,0.24,2.53,Matches
58,Sander Berge,no NOR,MF,Sheffield Utd,23-020,1998,11.3,37.7,81.9,118.2,83.2,88.3,71.7,0.09,0.11,-0.02,1.06,2.83,0.35,0.18,2.57,Matches
59,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23-149,1997,11.3,30.6,80.9,64.6,89.5,81,28,0.18,0.09,0.09,0.88,1.59,0.53,0,1.24,Matches
60,Bernard,br BRA,"FW,MF",Everton,28-179,1992,4.2,55,78.8,185.5,87.1,80.4,68.2,0,0.14,-0.14,1.9,3.81,2.14,0.48,4.52,Matches
61,Bernardo,br BRA,"DF,MF",Brighton,25-296,1995,2.3,37.8,71.3,125.2,84.2,70.6,83.3,0,0.09,-0.09,0.87,1.3,0.87,0.43,2.61,Matches
62,Ryan Bertrand,eng ENG,DF,Southampton,31-213,1989,23.9,54.1,76.6,270.7,88.1,80.2,42.6,0.04,0.03,0.02,0.33,2.34,0.92,0.17,3.51,Matches
